wine_name,link,country,type,grape,classification,description,evaluation,rating_count,lowest_price,full_price,discount
Montado Branco 2018,wine.com.br/vinhos/montado-branco-2018/prod23218.html,Espanha,branco,"Verdejo, Chardonnay",Seco,"Fresco, untuoso, final persistente",4.0,2.0,64.59,78.9,0.18136882129277565
Godello Luna Beberide Bierzo D.O. Branco 2017,wine.com.br/vinhos/godello-luna-beberide-bierzo-d-o-branco-2017/prod19714.html,Espanha,branco,Godello (100%),Seco,"Corpo de leve para médio, acidez agradável, mineral",3.0,4.0,137.53,196.9,0.30152361604875577
Salentein Killka Chardonnay 2019,wine.com.br/vinhos/salentein-killka-chardonnay-2019/prod23543.html,Argentina,branco,Chardonnay,Seco,"Frutado, boa acidez com toque mineral",4.0,8.0,82.24,109.9,0.25168334849863516
Cathedral Cellar W.O. Western Cape Sauvignon Blanc 2017,wine.com.br/vinhos/cathedral-cellar-w-o-western-cape-sauvignon-blanc-2017/prod21758.html,África do Sul,branco,Sauvignon Blanc (100%),Seco,"Entrada salina, corpo de leve para médio, acidez agradável, frutado, herbáceo ",4.0,18.0,191.8,191.8,0.0
Antigal UNO Sauvignon Blanc 2018,wine.com.br/vinhos/antigal-uno-sauvignon-blanc-2018/prod21186.html,Argentina,branco,Sauvignon Blanc (100%),Seco,"Leve, boa acidez, cítrico",4.0,4.0,63.6,63.6,0.0
Laborie W.O. Western Cape Sauvignon Blanc 2018,wine.com.br/vinhos/laborie-w-o-western-cape-sauvignon-blanc-2018/prod21756.html,África do Sul,branco,Sauvignon Blanc (100%),Seco,"Jovem, leve, acidez agradável, cítrico, vegetal",4.0,10.0,67.06,67.06,0.0
Oxford Landing Estates Sauvignon Blanc 2018,wine.com.br/vinhos/oxford-landing-estates-sauvignon-blanc-2018/prod21874.html,Austrália,branco,Sauvignon Blanc (100%),Seco,"Leve, boa acidez, cítrico, herbáceo",4.0,1.0,120.9,120.9,0.0
Viñedo de Los Vientos Arneis Chardonnay 2016,wine.com.br/vinhos/vinedo-de-los-vientos-arneis-chardonnay-2016/prod18875.html,Uruguai,branco,"Arneis (60%), Chardonnay (40%)",Seco,"Equilibrado, frutado, boa acidez, pão fresco",4.0,14.0,82.24,114.9,0.2842471714534378
Ropiteau Frères A.O.C. Puligny-Montrachet Blanc 2016,wine.com.br/vinhos/ropiteau-freres-a-o-c-puligny-montrachet-blanc-2016/prod20759.html,França,branco,Chardonnay (100.00%),Seco,"Médio corpo, fresco, notas da madeira, final longo",0.0,0.0,898.71,1025.9,0.12397894531630771
Chateau Langlet A.O.C. Graves Blanc 2015,wine.com.br/vinhos/chateau-langlet-a-o-c-graves-blanc-2015/prod18028.html,França,branco,Sauvignon Blanc (100.00%),Seco,"Corpo de leve para médio, boa acidez, frutado, bom final",3.0,1.0,145.76,226.9,0.3576024680475981
Fantinel Friulano Borgo Tesis Doc Friuli Branco 2017,wine.com.br/vinhos/fantinel-friulano-borgo-tesis-doc-friuli-branco-2017/prod20553.html,Itália,branco,Friulano (100%),Seco,"Frutado, acidez agradável, boa presença em boca, ",5.0,2.0,78.71,139.9,0.4373838456040029
Oxford Landing Estates Pinot Grigio 2018,wine.com.br/vinhos/oxford-landing-estates-pinot-grigio-2018/prod22267.html,Austrália,branco,Pinot Grigio (100%),Seco,"Frutado, leve, acidez agradável",4.0,8.0,101.06,120.9,0.16410256410256407
Tâmara Regional Tejo White 2017,wine.com.br/vinhos/tamara-regional-tejo-white-2017/prod24464.html,Portugal,branco,"Fernão Pires, Outras uvas, Arinto",Meio Seco/Demi-Sec,"Leve, frutado e boa acidez",5.0,3.0,52.82,68.9,0.2333817126269957
Romeo & Juliet PassioneSentimento Bianco 2016,wine.com.br/vinhos/romeo-juliet-passionesentimento-bianco-2016/prod19066.html,Itália,branco,Garganega (100%),Meio Seco/Demi-Sec,"Leve, frutado, acidez agradável, harmônico, doçura sutil",4.0,1.0,109.88,109.88,0.0
Enclos du Wine Hunter A.O.C. Bordeaux Blanc 2018,wine.com.br/vinhos/enclos-du-wine-hunter-a-o-c-bordeaux-blanc-2018/prod22477.html,França,branco,"Sauvignon Blanc (60.00%), Sémillon (20.00%), Sauvignon Gris (20.00%)",Seco,"Leve, acidez agradável, frutado, fácil de beber, boa persistência",4.0,22.0,114.9,114.9,0.0
Alqueve Branco 2017,wine.com.br/vinhos/alqueve-branco-2017/prod21087.html,Portugal,branco,"Fernão Pires (20%), Verdelho (20%), Alvarinho (20%), Viosinho (20%), Arinto (20%)",Seco,"Leve, frutado, boa acidez, gastronômico",4.0,17.0,78.9,78.9,0.0
Tenuta Sant`Antonio Scaia Bianco 2018,wine.com.br/vinhos/tenuta-sant-antonio-scaia-bianco-2018/prod22785.html,Itália,branco,"Garganega (55%), Chardonnay (45%)",Meio Seco/Demi-Sec,"Frutado, leve, boa acidez, bom final",5.0,31.0,117.53,132.9,0.11565086531226487
Quinta de São João Cuvée RB Branco 2017,wine.com.br/vinhos/quinta-de-sao-joao-cuvee-rb-branco-2017/prod23295.html,Portugal,branco,"Arinto, Fernão Pires",Seco,"Cítrico, boa acidez, bom final",4.0,12.0,75.9,75.9,0.0
Domaine de Cibadiès Le Jardin Chardonnay 2016,wine.com.br/vinhos/domaine-de-cibadies-le-jardin-chardonnay-2016/prod19663.html,França,branco,Chardonnay (100%),Seco,"Complexo, amadeirado, médio corpo, acidez agradável",4.0,19.0,103.41,189.9,0.45545023696682463
Navaldar D.O.Ca. Rioja Blanco 2018,wine.com.br/vinhos/navaldar-d-o-ca-rioja-blanco-2018/prod23418.html,Espanha,branco,Viura (100%),Seco,"Fresco, domínio de compota de maçã, acidez agradável, frutado.",0.0,0.0,59.9,59.9,0.0
Casas del Toqui Sauvignon Blanc 2019,wine.com.br/vinhos/casas-del-toqui-sauvignon-blanc-2019/prod23452.html,Chile,branco,Sauvignon Blanc (100%),Seco,"Fresco, frutado, leves toques minerais. ",0.0,0.0,51.87,51.87,0.0
